date,slhf,mslp,snsr,sntr,sshf,w10u,w10v,z500,z500windu,z500windv,z850,z850windu,z850windv,sst
2011-09-29,-307111.9418247296,100787.66942191022,748257.3829734639,-168223.45255723587,-9046.573156526743,13.421656505711287,-1.683208800630925,57226.25421791907,-3.2368917941321897,1.4140454374825053,14661.89260658752,18.61416847473836,-6.321796945650261,28.431332833333332
2011-09-30,-325195.0190743595,100814.66482699769,702494.69476447,-165604.5939340994,-12649.95236140571,13.318168879303544,-1.7363968831141776,57254.10103666164,-3.8493341870829108,1.2758027664223452,14685.12790025636,18.325168684582398,-6.622702385276534,28.47449956666667
2011-10-01,-354238.5082324936,100830.11667037425,716897.2548425985,-165221.03844424442,-17742.780021261544,13.20025933523524,-2.0487100592008756,57267.770995832965,-4.222257030315279,0.8745505094124362,14694.842888494632,17.96972180769433,-7.1636377226061585,28.52724936666667
2011-10-02,-329349.2395235988,100832.08301173565,687822.7215723377,-163607.19230718366,-14554.429422326642,13.105480151120936,-1.8596921961824342,57263.609507066096,-3.72805846570653,1.620906039388212,14693.350343588821,17.603258156259447,-6.501468448024701,28.534832766666668
2011-10-03,-346326.6611859674,100873.85245507935,666333.7132742283,-163381.9141460537,-16020.605245194538,13.072811973416979,-1.610384974435217,57277.58197131479,-4.196637534174521,2.613077949165078,14730.401762399288,17.768717638132486,-5.452695155381794,28.44499953333333
2011-10-04,-310573.1245326782,100947.02057089399,727841.6105229427,-171113.22758966225,-9310.32965376222,12.808748043344504,-1.8127951772187063,57325.6884544273,-4.664610224035628,1.7956261883583635,14798.17809210865,17.39906674374695,-5.846760860013892,28.4054163
2011-10-05,-299360.33471838624,100973.12718206698,734296.4837379642,-178949.41190138308,-9554.692290906845,12.73834328236898,-2.217615582785685,57328.27201130417,-4.481483884757293,0.09040090465942924,14813.325405950054,17.111106271944454,-7.136524465463306,28.403415966666664
2011-10-06,-317904.10179604177,100965.38056326346,755933.4484183543,-178143.45985940928,-12308.620423806828,12.852704942539958,-2.578160245855405,57314.683810261864,-4.081198206889377,0.03177362062999452,14805.533245833682,17.55330158740247,-8.060887063205488,28.3736662
2011-10-07,-307536.57766621397,100950.71412362272,735672.2572627532,-178539.6386945,-10962.686533502214,12.759308050853186,-2.461823230316319,57299.45227082634,-4.616554719440236,0.32669131889166864,14788.866494385462,17.42151602018198,-7.5947902258369275,28.318916066666667
2011-10-08,-348441.8283963805,100958.075509398,769176.6487845818,-187025.4397725828,-15419.395582378334,12.540214701089688,-2.458725358128674,57306.974018695735,-4.846978590055358,0.2692257379803865,14790.48677962105,16.76078669893353,-7.423762459390863,28.292999466666668
2011-10-09,-348009.18055788684,100955.02069706956,726978.1635756032,-178447.3911716235,-14919.033992034554,12.649646184935808,-2.5443219496519016,57298.41394258784,-4.50945309799972,-0.15905547824520633,14786.580614799985,16.962622323178156,-7.854914962621633,28.303832866666667
